ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-04-18 00:00:00,9,13204,48658,6161,11.588618521106566,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-18 00:00:00,10,13303,35883,5589,15.50781707215124,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-19 00:00:00,1,11298,87872,13929,14.69967680262203,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-19 00:00:00,2,10397,86981,12479,13.358515078005569,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00),(OO,14696,852.00)]"
2025-04-19 00:00:00,3,11292,89153,12092,12.289457449553037,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(AA,11057,910.00),(OO,13158,910.00)]"
2025-04-19 00:00:00,4,13930,81203,11315,13.01033213058626,1986.0,"[(AA,14100,1986.00),(AA,11057,1936.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00)]"
2025-04-19 00:00:00,5,11057,59490,8105,12.025214321734863,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-19 00:00:00,6,11278,40257,7018,16.560051668032887,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-19 00:00:00,7,12889,55159,6702,9.725702061313562,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00),(F9,11292,838.00)]"
2025-04-19 00:00:00,8,14107,61734,6543,8.264586775520792,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-19 00:00:00,9,13204,49161,6221,11.56526514920371,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-19 00:00:00,10,13303,36203,5622,15.428997596884319,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-20 00:00:00,1,11298,88582,14096,14.778397417082543,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-20 00:00:00,2,10397,87723,12557,13.340583427379384,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(F9,12266,1090.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00)]"
2025-04-20 00:00:00,3,11292,89869,12150,12.243053778277277,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,13930,1554.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(OO,13158,910.00)]"
2025-04-20 00:00:00,4,13930,81992,11427,13.002109961947461,1986.0,"[(AA,14100,1986.00),(AA,11057,1936.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00)]"
2025-04-20 00:00:00,5,11057,59975,8155,12.004018340975525,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-20 00:00:00,6,11278,40593,7040,16.432266646958816,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-20 00:00:00,7,12889,55660,6738,9.694664031620457,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(UA,11618,1242.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00)]"
2025-04-20 00:00:00,8,14107,62300,6600,8.28337078651686,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-20 00:00:00,9,13204,49565,6274,11.580227983456142,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-20 00:00:00,10,13303,36498,5672,15.418543481834694,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-21 00:00:00,1,11298,89586,14266,14.829805996472723,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-21 00:00:00,2,10397,88768,12683,13.311395998558051,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(F9,12266,1090.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00)]"
2025-04-21 00:00:00,3,11292,90897,12224,12.15995027338636,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,13930,1554.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(OO,13158,910.00)]"
2025-04-21 00:00:00,4,13930,83027,11558,12.96910643525597,1986.0,"[(AA,14100,1986.00),(AA,11057,1936.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00)]"
2025-04-21 00:00:00,5,11057,60676,8242,11.99233634385931,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-21 00:00:00,6,11278,41056,7085,16.326066835541663,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-21 00:00:00,7,12889,56297,6825,9.698083379220828,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(UA,11618,1242.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00)]"
2025-04-21 00:00:00,8,14107,62983,6662,8.281806201673483,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-21 00:00:00,9,13204,50128,6377,11.67158075327168,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-21 00:00:00,10,13303,36887,5727,15.396806462981617,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-22 00:00:00,1,11298,90712,14506,14.90462121880242,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-22 00:00:00,2,10397,89820,12766,13.219516811400604,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(F9,12266,1090.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00)]"
2025-04-22 00:00:00,3,11292,91879,12288,12.065640679589452,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,13930,1554.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(OO,13158,910.00)]"
2025-04-22 00:00:00,4,13930,84082,11635,12.84948026926093,1986.0,"[(AA,14100,1986.00),(AA,11057,1936.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00)]"
2025-04-22 00:00:00,5,11057,61355,8323,11.977459049792326,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-22 00:00:00,6,11278,41588,7140,16.206429739347854,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-22 00:00:00,7,12889,56920,6872,9.655358397751124,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(UA,11618,1242.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00)]"
2025-04-22 00:00:00,8,14107,63692,6712,8.230955222005914,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-22 00:00:00,9,13204,50674,6431,11.632908394837653,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
2025-04-22 00:00:00,10,13303,37278,5763,15.317855035141458,1478.0,"[(AA,10423,1478.00),(F9,11193,1242.00),(AA,10994,1217.00),(DL,13487,1114.00),(F9,14100,1100.00),(AA,14107,1050.00),(UA,12266,1030.00),(F9,14100,1008.00),(AA,13495,987.00),(B6,10721,977.00),(DL,10721,973.00),(DL,12478,925.00),(YX,12992,925.00),(AA,14107,920.00),(AA,14107,911.00),(DL,12953,907.00),(B6,12478,870.00),(DL,11433,861.00),(AA,12266,860.00),(DL,10397,842.00)]"
2025-04-23 00:00:00,1,11298,91361,14790,15.095795799082808,1766.0,"[(AA,13303,1766.00),(OH,11953,1500.00),(AA,12173,1490.00),(AA,13930,1419.00),(B6,10721,1412.00),(AA,13303,1322.00),(OH,12217,1318.00),(AA,14492,1272.00),(OH,12992,1198.00),(AA,13244,1175.00),(OH,12217,1172.00),(AA,11638,1147.00),(AA,12094,1144.00),(AA,13851,1098.00),(AA,14193,1078.00),(OH,12448,1058.00),(DL,10397,1021.00),(OH,13277,1020.00),(AA,11057,1003.00),(DL,12953,995.00)]"
2025-04-23 00:00:00,2,10397,90511,12823,13.164167891195568,1300.0,"[(AA,13303,1300.00),(B6,10721,1204.00),(DL,14747,1188.00),(DL,12478,1106.00),(AA,11298,1095.00),(F9,12266,1090.00),(DL,12892,1062.00),(DL,12892,1061.00),(DL,14908,1036.00),(DL,12217,993.00),(DL,14747,977.00),(DL,14771,976.00),(F9,11618,972.00),(F9,13303,968.00),(DL,12889,963.00),(DL,10792,921.00),(F9,13204,920.00),(DL,14689,906.00),(DL,10208,888.00),(AA,12892,874.00)]"
2025-04-23 00:00:00,3,11292,92581,12405,12.097784642637244,1899.0,"[(AA,14107,1899.00),(AA,11298,1679.00),(AA,13930,1554.00),(AA,11057,1489.00),(B6,10721,1458.00),(AA,11298,1123.00),(OO,11921,1120.00),(OO,11315,1087.00),(MQ,14107,998.00),(OO,12280,990.00),(OO,14877,986.00),(OO,10713,977.00),(OO,12177,975.00),(AA,13930,961.00),(F9,10397,940.00),(OO,12896,940.00),(OO,14457,931.00),(F9,12889,925.00),(UA,12441,914.00),(OO,13158,910.00)]"
2025-04-23 00:00:00,4,13930,84806,11679,12.776878994410756,1986.0,"[(AA,14100,1986.00),(AA,11057,1936.00),(AA,12441,1546.00),(OO,14877,1320.00),(F9,11292,1273.00),(B6,10721,1240.00),(AA,14100,1167.00),(AA,13495,1112.00),(MQ,13459,1052.00),(AA,11278,1051.00),(DL,14869,1025.00),(B6,12478,1018.00),(OO,13282,1014.00),(OO,13184,1012.00),(OO,15370,999.00),(OO,13871,998.00),(NK,10397,977.00),(OO,12559,964.00),(AA,10423,945.00),(OO,10693,933.00)]"
2025-04-23 00:00:00,5,11057,61836,8367,11.93550682450365,1279.0,"[(AA,15016,1279.00),(AA,10257,1233.00),(F9,11298,1203.00),(AA,14100,1148.00),(AA,11278,1113.00),(DL,10397,1041.00),(AA,12478,1030.00),(OH,11973,1026.00),(OH,10599,1009.00),(AA,14107,989.00),(DL,13487,986.00),(F9,12953,980.00),(F9,12953,935.00),(AA,10257,934.00),(DL,10397,913.00),(UA,11618,897.00),(OH,14685,865.00),(AA,11292,845.00),(OH,11252,835.00),(MQ,12992,833.00)]"
2025-04-23 00:00:00,6,11278,41892,7184,16.179724052325003,1587.0,"[(AA,13930,1587.00),(AA,11298,1316.00),(OH,10581,1173.00),(AA,14635,1165.00),(DL,10397,1160.00),(UA,12266,1160.00),(OH,10257,1157.00),(OH,11423,1153.00),(AA,11298,1141.00),(AA,15304,1118.00),(OH,10781,1110.00),(UA,13930,1093.00),(DL,11433,1092.00),(OH,10781,1051.00),(DL,10397,1040.00),(DL,12892,1031.00),(DL,10397,995.00),(B6,14027,976.00),(F9,11292,968.00),(DL,11433,954.00)]"
2025-04-23 00:00:00,7,12889,57348,6914,9.640615191462516,2315.0,"[(AA,11298,2315.00),(OO,14893,1266.00),(UA,11618,1242.00),(G4,14457,1194.00),(DL,12478,1094.00),(G4,11193,1042.00),(DL,10397,1030.00),(G4,14314,1030.00),(G4,10408,964.00),(G4,11193,964.00),(G4,13367,952.00),(DL,12478,942.00),(G4,10666,942.00),(F9,13232,896.00),(AA,13930,893.00),(UA,11618,870.00),(AA,14107,868.00),(B6,12478,866.00),(DL,12892,859.00),(AA,11298,853.00)]"
2025-04-23 00:00:00,8,14107,64180,6763,8.222109691492685,1859.0,"[(AA,12478,1859.00),(B6,11697,1163.00),(AA,12173,1159.00),(AA,10693,996.00),(OO,10713,972.00),(DL,14869,963.00),(AA,10397,931.00),(AA,10423,891.00),(F9,13930,871.00),(AA,14262,867.00),(AA,11066,861.00),(AA,13487,855.00),(OO,11695,849.00),(AA,12173,829.00),(AA,12889,820.00),(OO,14698,796.00),(OO,10561,793.00),(DL,10397,791.00),(OO,14771,781.00),(OO,13158,768.00)]"
2025-04-23 00:00:00,9,13204,51003,6461,11.59429837460548,1305.0,"[(AA,13930,1305.00),(DL,11433,1196.00),(AA,13930,1186.00),(F9,14100,1171.00),(AA,14100,1156.00),(AA,11057,1151.00),(DL,12478,1073.00),(AA,13303,1019.00),(DL,11193,1014.00),(DL,11433,1000.00),(AA,14107,986.00),(AA,11278,959.00),(UA,12892,950.00),(AA,13930,945.00),(AA,14100,910.00),(UA,13930,904.00),(UA,12266,902.00),(DL,14492,899.00),(DL,12892,896.00),(AA,12892,887.00)]"
